B,G,R,Label
252,244,234,1
253,249,237,1
246,240,232,1
217,213,205,1
230,221,212,1
218,206,205,1
216,212,207,1
236,230,223,1
255,248,240,1
250,244,232,1
243,231,219,1
248,238,232,1
255,253,247,1
254,248,242,1
248,247,249,1
210,210,219,1
255,253,254,1
255,253,255,1
254,253,253,1
255,254,254,1
255,254,254,1
253,250,253,1
248,247,249,1
251,252,253,1
255,253,255,1
246,245,248,1
248,244,246,1
238,230,236,1
254,253,254,1
233,233,235,1
230,223,228,1
229,229,232,1
245,239,239,1
228,221,225,1
212,214,216,1
222,221,220,1
215,216,217,1
216,216,217,1
196,198,200,1
203,201,203,1
194,195,200,1
181,181,182,1
177,179,182,1
185,187,188,1
188,191,195,1
187,190,193,1
195,193,194,1
175,175,180,1
196,193,198,1
183,179,188,1
161,159,169,1
176,174,180,1
183,185,189,1
190,183,189,1
186,179,184,1
175,173,179,1
195,194,200,1
177,173,175,1
174,170,176,1
199,193,195,1
182,177,180,1
206,199,205,1
214,208,209,1
163,163,174,1
199,198,204,1
211,206,207,1
203,193,197,1
186,183,185,1
212,212,214,1
175,177,183,1
201,201,207,1
206,205,205,1
198,196,199,1
199,195,193,1
204,208,212,1
134,137,141,1
222,216,220,1
160,164,173,1
206,206,217,1
199,189,195,1
167,167,171,1
222,217,214,1
183,182,182,1
180,177,177,1
158,153,152,1
193,195,196,1
153,160,165,1
151,155,158,1
181,181,185,1
173,169,164,1
188,184,183,1
145,149,153,1
159,164,163,1
183,178,181,1
177,180,188,1
173,168,173,1
164,161,159,1
190,179,181,1
201,196,208,1
165,174,183,1
238,221,216,1
239,229,236,1
205,205,219,1
255,254,254,1
174,170,177,1
181,182,196,1
222,212,214,1
202,206,217,1
167,164,166,1
240,238,239,1
187,190,194,1
239,235,244,1
244,244,246,1
255,250,252,1
229,227,234,1
247,241,244,1
212,205,208,1
150,151,164,1
172,177,180,1
183,180,176,1
171,170,167,1
166,161,160,1
191,179,172,1
183,176,176,1
172,165,163,1
183,176,177,1
204,194,191,1
186,180,179,1
180,170,171,1
195,186,180,1
188,184,179,1
230,213,209,1
255,249,236,1
220,207,200,1
204,186,177,1
255,247,235,1
255,244,230,1
248,236,232,1
220,213,210,1
208,203,204,1
221,211,212,1
247,235,223,1
246,229,222,1
255,255,246,1
245,243,233,1
254,250,239,1
254,249,243,1
250,239,234,1
254,245,241,1
255,251,243,1
255,251,243,1
255,247,242,1
209,202,200,1
253,239,219,1
201,197,198,1
203,207,214,1
207,212,215,1
182,184,192,1
177,181,185,1
184,181,184,1
186,185,186,1
206,200,191,1
187,192,204,1
178,180,191,1
241,235,234,1
219,213,223,1
212,208,205,1
192,190,194,1
174,174,179,1
174,176,176,1
173,176,184,1
163,165,176,1
178,171,178,1
165,166,170,1
239,233,228,1
181,180,180,1
241,228,233,1
200,189,187,1
228,223,228,1
207,200,196,1
170,167,170,1
223,215,212,1
203,207,216,1
243,229,227,1
244,234,225,1
255,254,251,1
254,247,238,1
252,248,240,1
253,249,238,1
253,249,237,1
252,237,234,1
252,242,233,1
221,213,213,1
255,246,231,1
205,197,194,1
179,171,167,1
214,194,187,1
210,205,203,1
202,192,190,1
200,193,194,1
200,197,192,1
183,174,173,1
175,172,168,1
193,187,182,1
204,195,193,1
194,195,195,1
201,191,188,1
239,226,220,1
197,192,192,1
216,210,211,1
222,210,200,1
239,222,210,1
255,255,248,1
250,237,232,1
254,244,237,1
116,113,119,0
156,151,150,0
156,155,154,0
110,115,116,0
99,119,117,0
100,114,117,0
97,109,111,0
89,100,106,0
98,106,113,0
83,102,104,0
101,104,109,0
158,163,169,0
120,130,127,0
110,119,120,0
116,128,133,0
134,144,148,0
120,132,139,0
121,129,134,0
93,112,114,0
115,127,129,0
125,133,136,0
119,124,126,0
116,132,138,0
94,112,119,0
75,99,98,0
77,100,95,0
86,101,106,0
92,104,106,0
117,130,131,0
88,110,108,0
99,123,115,0
132,143,150,0
117,124,121,0
97,123,109,0
86,111,101,0
88,101,103,0
146,146,145,0
77,89,80,0
116,113,105,0
125,125,120,0
115,134,127,0
96,119,109,0
121,136,133,0
87,92,94,0
89,100,91,0
125,144,130,0
141,139,133,0
70,74,69,0
89,96,86,0
78,82,71,0
86,93,91,0
66,74,70,0
59,64,61,0
45,47,45,0
75,80,74,0
74,78,73,0
70,77,67,0
64,68,66,0
65,61,53,0
61,68,59,0
78,77,69,0
82,80,73,0
66,74,63,0
55,58,50,0
57,60,55,0
57,60,55,0
44,50,40,0
62,75,73,0
68,90,88,0
88,103,97,0
106,121,122,0
126,124,112,0
133,137,131,0
158,159,149,0
125,137,130,0
134,140,138,0
162,156,154,0
126,128,132,0
104,117,123,0
108,107,114,0
154,156,159,0
103,119,119,0
174,170,169,0
111,115,113,0
110,110,112,0
151,143,141,0
182,179,178,0
118,116,118,0
159,156,157,0
121,130,127,0
95,105,105,0
115,126,124,0
115,123,123,0
91,112,103,0
97,108,112,0
88,104,96,0
83,91,91,0
138,142,143,0
83,86,105,0
78,84,81,0
89,94,97,0
90,85,85,0
109,114,107,0
112,135,121,0
170,161,153,0
124,128,128,0
149,144,144,0
124,125,124,0
149,147,141,0
91,105,106,0
50,49,47,0
74,86,83,0
116,126,127,0
84,95,90,0
88,93,94,0
87,90,94,0
105,108,101,0
78,103,99,0
64,81,68,0
171,176,168,0
58,63,64,0
43,51,41,0
61,63,57,0
58,57,52,0
61,73,56,0
62,71,67,0
74,83,77,0
41,49,43,0
53,55,52,0
64,95,80,0
63,63,53,0
77,69,60,0
69,70,62,0
82,74,64,0
56,55,48,0
67,65,55,0
79,81,61,0
60,57,50,0
71,69,59,0
74,73,58,0
50,51,45,0
62,56,48,0
66,61,52,0
62,65,49,0
52,45,39,0
59,59,49,0
55,49,42,0
50,46,38,0
60,53,49,0
72,70,61,0
56,54,48,0
73,69,62,0
65,77,63,0
67,61,51,0
81,91,77,0
60,66,59,0
73,65,61,0
80,80,71,0
74,75,74,0
74,67,61,0
69,68,63,0
63,73,71,0
61,59,45,0
58,57,47,0
84,103,93,0
56,58,51,0
49,46,37,0
60,51,48,0
85,90,82,0
49,52,46,0
45,47,41,0
64,74,59,0
74,96,97,0
35,33,33,0
246,222,190,0
255,255,242,0
59,59,59,0
70,91,86,0
88,83,79,0
81,77,61,0
56,67,68,0
177,185,181,0
27,29,24,0
35,33,30,0
67,62,66,0
63,85,77,0
78,103,91,0
43,43,37,0
36,37,29,0
41,48,41,0
62,78,76,0
61,82,59,0
29,31,26,0
32,35,30,0
37,39,33,0
21,23,17,0
19,21,19,0
35,49,35,0
53,62,48,0
31,36,30,0
49,63,52,0
33,38,31,0
51,61,51,0
34,41,39,0
57,77,67,0
87,116,101,0
170,164,166,0
121,136,133,0
79,96,103,0
67,95,87,0
52,59,62,0
73,82,74,0
32,29,27,0
77,91,77,0
54,53,48,0
75,73,63,0
78,82,68,0
70,67,62,0
47,60,70,0
37,45,36,0
41,56,41,0
17,19,14,0
42,51,40,0
37,37,31,0
27,28,25,0
66,65,55,0
65,70,59,0
45,49,38,0
39,41,33,0
38,46,37,0
55,61,54,0
30,31,29,0
34,36,32,0
78,93,75,0
46,47,43,0
29,33,29,0
43,54,43,0
36,32,30,0
47,44,50,0
37,45,38,0
73,79,69,0
33,36,33,0
61,75,61,0
29,30,26,0
68,77,81,0
40,44,44,0
83,98,104,0
164,157,158,0
107,122,119,0
97,117,118,0
88,103,110,0
117,128,130,0
86,108,106,0
25,30,26,0
84,104,100,0
69,86,89,0
90,100,110,0
98,129,121,0
95,107,108,0
55,72,55,0
50,49,45,0
67,101,87,0
61,81,76,0
96,110,118,0
103,121,117,0
76,103,93,0
67,81,76,0
92,106,101,0
37,34,25,0
73,95,80,0
59,57,55,0
58,58,48,0
68,65,57,0
83,75,67,0
50,49,37,0
59,56,51,0
62,59,55,0
67,74,61,0
76,85,74,0
77,90,69,0
61,67,55,0
33,30,30,0
66,65,54,0
52,47,43,0
82,70,66,0
63,59,57,0
59,57,48,0
77,68,54,0
72,79,65,0
76,92,83,0
87,99,94,0
80,85,87,0
108,124,129,0
144,138,139,0
106,109,109,0
109,119,119,0
97,114,100,0
52,63,59,0
75,65,56,0
67,75,74,0
85,91,90,0
104,111,111,0
64,77,66,0
55,53,45,0
53,54,45,0
173,175,179,1
211,199,198,1
245,233,220,1
225,219,219,1
178,181,185,1
252,240,236,1
253,246,246,1
205,207,213,1
221,215,213,1
183,180,189,1
235,230,233,1
216,216,220,1
192,184,194,1
222,218,229,1
203,207,219,1
233,225,232,1
203,205,215,1
221,211,211,1
182,188,193,1
201,204,208,1
189,192,199,1
