B,G,R,Label
250,241,236,1
252,237,230,1
240,228,216,1
224,214,209,1
205,196,193,1
213,204,201,1
239,226,225,1
237,231,231,1
219,203,203,1
195,189,189,1
179,176,186,1
254,251,255,1
244,242,243,1
218,212,215,1
215,212,212,1
213,208,209,1
227,221,228,1
188,182,192,1
224,222,230,1
229,225,230,1
203,201,204,1
207,207,207,1
185,183,186,1
191,185,189,1
176,169,173,1
174,174,180,1
155,157,167,1
194,187,190,1
202,198,198,1
193,191,193,1
181,175,177,1
176,168,169,1
184,184,189,1
167,177,180,1
194,192,196,1
214,207,208,1
213,215,221,1
208,207,214,1
252,253,249,1
226,224,235,1
79,94,92,2
101,108,113,2
111,122,113,2
108,119,115,2
116,120,122,2
93,100,97,2
134,129,134,2
101,116,108,2
128,126,126,2
146,138,142,2
90,93,95,2
86,99,88,2
52,49,47,2
72,73,76,2
126,132,132,2
95,108,101,2
79,101,102,2
90,92,83,2
50,56,54,2
61,64,51,2
56,65,52,2
58,56,46,2
77,68,65,2
69,68,56,2
62,61,52,2
61,54,52,2
68,65,51,2
84,71,65,2
49,47,41,2
67,69,60,2
55,59,51,2
36,31,27,2
85,98,95,2
49,47,37,2
59,65,53,2
75,76,78,2
81,105,98,2
89,115,105,2
169,176,169,2
73,93,98,2
90,122,109,2
65,88,80,2
29,35,28,2
21,18,15,2
18,24,18,2
45,52,39,2
43,43,37,2
36,38,32,2
30,30,26,2
48,43,40,2
81,99,95,2
42,51,38,2
47,58,46,2
56,68,64,2
86,95,104,2
59,77,60,2
35,34,36,2
59,81,67,2
62,59,49,2
41,47,36,2
43,39,34,2
72,66,60,2
51,43,36,2
217,180,144,0
255,250,206,0
254,228,185,0
158,150,121,0
118,115,99,0
242,219,190,0
191,175,153,0
239,230,212,0
194,183,169,0
252,248,230,0
255,255,252,0
254,251,235,0
254,251,235,0
254,252,239,0
255,252,238,0
255,255,249,0
255,255,249,0
254,254,230,0
254,254,230,0
255,255,250,0
254,254,254,0
255,255,255,0
255,254,254,0
255,255,254,0
255,254,253,0
255,255,242,0
255,255,224,0
210,183,161,0
255,255,240,0
255,255,254,0
254,252,239,0
254,251,235,0
207,200,201,1
206,207,205,1
216,212,217,1
208,205,214,1
214,208,213,1
215,202,205,1
217,217,224,1
226,219,229,1
200,201,207,1
190,190,183,1
226,219,212,1
252,241,233,1
244,236,224,1
229,218,214,1
223,217,208,1
201,193,194,1
199,195,194,1
151,146,146,1
168,166,168,1
237,230,232,1
255,253,252,1
250,251,252,1
255,251,252,1
231,224,231,1
225,224,238,1
223,216,223,1
225,209,207,1
239,232,237,1
200,203,213,1
209,207,212,1
190,186,195,1
188,193,199,1
180,188,198,1
188,187,193,1
227,218,213,1
224,217,211,1
235,226,222,1
246,237,229,1
253,239,232,1
255,249,245,1
254,250,239,1
246,235,231,1
255,249,242,1
255,255,251,1
255,252,241,1
254,249,237,1
254,251,243,1
239,226,222,1
242,234,230,1
234,225,226,1
216,210,203,1
232,227,229,1
253,250,249,1
198,190,191,1
225,219,223,1
249,248,252,1
209,210,218,1
228,221,223,1
203,207,216,1
196,198,207,1
237,231,237,1
194,195,205,1
