0,1,2,Label
3,3,3,0
9,10,9,0
9,9,9,0
13,12,11,0
23,21,20,0
10,10,10,0
16,12,11,0
12,14,10,0
18,17,14,2
17,16,13,2
18,17,15,2
14,17,15,2
20,23,18,2
22,26,20,2
21,19,18,2
24,28,24,0
25,26,22,0
23,26,22,0
22,27,22,0
16,17,15,0
29,35,27,0
21,23,19,0
24,21,17,0
25,24,20,0
41,39,34,0
35,35,31,0
37,40,34,0
41,32,30,0
32,28,26,0
28,32,25,0
33,32,29,0
39,41,37,0
38,37,31,0
43,39,36,0
35,26,24,0
34,30,28,0
30,31,24,0
32,32,27,0
58,45,42,0
34,32,27,0
28,29,23,0
30,27,23,0
33,30,26,0
37,33,27,0
51,44,39,0
43,37,33,0
50,45,39,0
48,36,32,0
44,42,34,0
51,47,40,0
6,7,5,0
20,21,19,0
38,48,36,0
35,39,29,0
50,62,48,0
40,49,33,0
63,76,62,0
60,69,56,0
37,37,33,0
34,34,28,0
37,37,31,0
33,34,31,0
31,33,28,0
33,37,27,0
59,66,49,0
237,190,155,2
121,101,85,2
57,62,48,0
43,46,36,0
47,57,43,0
59,69,57,0
33,31,25,0
37,31,28,0
42,45,39,0
43,41,32,0
62,61,49,0
57,59,46,0
70,75,63,0
81,73,63,0
61,59,50,0
67,65,57,0
67,60,56,0
68,67,58,0
92,87,78,0
65,63,52,0
67,65,54,0
68,64,50,0
78,72,63,0
74,69,58,0
46,43,36,0
60,60,50,0
73,69,58,0
69,67,50,0
64,62,53,0
84,86,67,0
91,86,70,0
73,69,58,0
63,58,48,0
82,82,66,0
84,80,66,0
5,5,4,0
17,21,19,0
18,24,16,0
26,27,22,0
29,27,25,0
31,37,30,0
45,55,42,0
51,64,50,0
32,29,26,0
31,34,26,0
29,28,22,0
33,35,29,0
35,35,31,0
27,28,25,0
39,42,33,0
41,50,38,0
194,183,169,2
254,255,252,2
85,83,72,0
56,60,56,0
66,73,66,0
71,74,60,0
84,85,69,0
82,88,70,0
92,94,73,0
88,94,70,0
91,106,78,0
55,61,47,0
62,66,55,0
52,51,44,0
63,67,58,0
55,48,45,0
61,57,52,0
78,69,62,0
80,68,63,0
71,67,60,0
44,42,33,0
44,42,32,0
54,46,42,0
52,49,41,0
58,50,44,0
65,61,60,0
81,80,70,0
69,64,57,0
76,76,65,0
61,62,51,0
73,76,65,0
77,68,64,0
71,67,56,0
71,78,63,0
7,12,7,0
28,35,25,0
21,28,21,0
33,34,31,0
46,50,43,0
45,55,43,0
38,43,30,0
51,66,48,0
55,74,55,0
49,62,48,0
36,38,32,0
56,57,52,0
45,47,41,0
46,53,40,0
61,68,55,0
52,59,45,0
56,66,51,0
59,65,53,0
68,78,66,0
68,66,64,0
68,78,67,0
76,87,72,0
53,52,49,0
59,56,52,0
32,28,26,0
37,30,27,0
41,39,39,0
56,48,43,0
72,69,64,0
68,72,61,0
55,53,48,0
109,97,93,0
74,75,73,0
70,79,65,0
73,81,69,0
71,68,62,0
46,40,34,0
52,49,42,0
57,54,49,0
62,61,51,0
58,59,49,0
56,54,49,0
55,57,48,0
69,64,59,0
86,76,67,0
59,56,51,0
66,69,58,0
59,62,51,0
63,60,52,0
49,51,43,0
8,15,9,0
50,73,55,0
43,54,42,0
36,40,36,0
29,33,26,0
27,25,24,0
37,45,36,0
46,52,43,0
56,68,51,0
58,67,55,0
31,30,25,0
34,36,29,0
55,56,53,0
67,59,51,0
50,47,43,0
33,28,25,0
31,29,28,0
41,44,46,0
64,71,60,0
62,72,58,0
43,38,32,0
87,82,76,0
46,44,44,0
56,52,49,0
52,55,51,0
59,74,59,0
35,33,28,0
40,39,37,0
36,33,30,0
55,56,47,0
64,60,55,0
59,58,57,0
65,77,63,0
46,40,35,0
57,59,48,0
79,85,81,0
67,73,69,0
71,84,81,0
107,114,112,0
112,122,122,0
144,147,149,2
131,132,136,2
168,171,170,0
154,151,152,0
107,111,113,0
69,81,66,0
42,44,33,0
44,46,38,0
90,93,82,0
73,66,61,0
10,16,10,0
42,64,45,0
53,72,53,0
46,53,41,0
35,43,33,0
45,50,39,0
48,61,52,0
57,79,61,0
43,53,41,0
46,67,54,0
25,28,24,0
41,42,37,0
52,63,71,0
42,63,59,0
66,67,66,0
73,64,67,0
55,58,51,0
37,39,36,0
65,72,66,0
79,92,79,0
52,56,51,0
41,37,36,0
56,60,57,0
50,55,56,0
51,57,52,0
78,93,87,0
71,93,88,0
100,129,112,0
105,129,116,0
69,74,71,0
87,87,87,0
111,121,114,0
157,155,153,0
223,220,217,1
255,250,241,1
223,211,207,1
222,213,199,1
255,252,238,1
254,247,238,1
255,255,247,1
158,161,152,1
164,169,161,0
131,129,129,0
98,117,119,0
71,83,80,0
55,57,52,0
84,92,83,0
67,79,62,0
51,53,45,0
67,72,58,0
6,8,6,0
34,40,30,0
29,35,29,0
37,43,37,0
49,62,48,0
61,80,60,0
70,82,65,0
64,80,61,0
76,96,73,0
50,45,43,0
50,53,61,0
76,71,72,0
66,69,69,0
68,79,72,0
55,60,58,0
62,61,58,0
64,59,56,0
86,82,82,0
72,69,65,0
68,63,62,0
64,60,61,0
75,77,75,0
88,106,96,0
96,106,104,0
89,116,103,0
73,95,92,0
68,81,77,0
122,133,132,0
121,137,135,0
209,208,212,1
254,246,246,1
255,245,238,1
231,216,204,1
186,183,175,1
199,190,190,1
226,217,216,1
235,223,220,1
240,228,224,1
212,208,205,1
110,125,128,2
255,254,240,0
107,109,107,0
77,74,71,0
96,101,97,0
89,102,96,0
71,82,79,0
84,112,109,0
69,99,79,0
77,104,88,0
71,101,86,0
6,7,5,0
36,44,35,0
41,45,36,0
41,49,40,0
60,69,59,0
84,82,80,0
40,42,40,0
41,47,38,0
36,45,36,0
48,49,45,0
67,71,65,0
51,59,49,0
72,80,67,0
60,80,61,0
89,99,96,0
77,85,81,0
58,64,59,0
69,84,75,0
89,115,107,0
80,112,97,0
70,93,89,0
