B,G,R,Label
136,157,160,1
214,238,244,1
245,255,255,1
132,140,146,1
59,62,56,1
49,51,46,1
32,34,32,1
28,30,28,1
23,24,23,1
19,20,19,1
28,28,26,1
53,53,49,1
52,59,53,1
24,27,25,1
25,30,30,1
133,147,146,1
180,203,205,1
208,224,223,1
83,85,78,1
73,71,64,1
94,93,83,1
83,85,78,1
54,53,47,1
46,47,43,1
76,75,67,1
58,61,55,1
181,200,204,1
210,230,231,1
9,13,11,2
6,9,9,2
8,10,10,2
5,6,6,2
6,9,8,2
4,4,5,2
3,4,3,2
3,4,3,2
7,9,8,2
13,20,21,2
8,10,10,2
7,8,7,2
16,21,23,2
43,65,70,2
8,13,11,2
9,12,12,2
6,7,6,2
4,7,6,2
24,33,26,2
16,22,18,2
27,39,32,2
6,7,8,2
5,6,6,2
3,5,5,2
5,5,6,2
70,77,76,2
12,14,15,2
15,19,20,2
30,35,34,2
127,147,152,2
69,98,99,2
23,28,30,2
89,114,132,2
64,82,90,2
24,33,35,2
28,33,35,2
13,17,17,2
142,133,113,0
142,133,114,0
163,151,133,0
176,163,145,0
181,171,150,0
186,172,153,0
158,147,126,0
255,255,240,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
177,165,144,0
255,255,255,0
255,255,255,0
138,160,168,1
121,140,145,1
102,118,122,1
29,33,31,1
22,24,22,1
39,44,41,1
27,31,30,1
61,69,64,1
49,53,48,1
147,170,177,1
156,178,189,1
153,177,183,1
138,159,164,1
129,146,148,1
255,255,255,0
255,255,252,0
255,255,255,0
255,255,255,0
255,255,255,0
156,146,127,0
169,159,141,0
120,117,100,0
146,135,120,0
6,9,8,2
7,11,10,2
9,10,11,2
15,23,18,2
18,26,20,2
22,34,33,2
33,50,57,2
15,26,20,2
4,5,5,2
