B,G,R,Label
152,156,145,1
106,103,93,1
238,255,255,1
101,101,90,1
107,106,95,1
221,241,239,1
104,103,93,1
213,239,242,1
154,160,152,1
234,253,251,1
131,131,117,1
214,230,229,1
252,255,253,1
244,255,255,1
188,188,178,1
238,255,255,1
232,254,255,1
30,34,33,2
25,30,30,2
28,34,32,2
64,69,67,2
19,21,22,2
10,14,13,2
15,24,20,2
11,13,13,2
10,12,12,2
16,23,20,2
23,26,26,2
31,42,40,2
52,62,65,2
40,53,52,2
15,19,19,2
30,34,34,2
14,26,22,2
26,33,34,2
19,27,30,2
33,46,40,2
24,34,32,2
19,25,18,2
203,231,246,2
16,21,18,2
9,12,12,2
67,91,106,2
17,22,22,2
255,255,255,1
255,255,255,1
214,230,229,1
136,137,128,1
107,103,93,1
233,251,253,1
249,255,255,1
147,151,148,1
114,117,112,1
126,126,114,1
231,255,255,1
226,249,251,1
105,102,90,1
221,249,254,1
117,121,113,1
180,199,198,1
170,184,182,1
126,133,126,1
108,110,102,1
95,95,85,1
100,102,93,1
110,114,106,1
106,106,95,1
171,187,186,1
211,223,216,1
155,160,153,1
86,85,74,1
190,206,206,1
232,248,243,1
232,242,234,1
191,209,219,1
228,245,242,1
251,255,254,1
188,188,172,1
255,255,255,1
198,204,191,1
