B,G,R,Label
255,255,255,1
247,255,255,1
236,255,255,1
181,200,204,1
165,187,192,1
128,143,146,1
127,142,142,1
142,158,159,1
162,182,185,1
170,187,195,1
208,230,236,1
92,92,81,1
78,82,74,1
54,53,48,1
38,38,35,1
31,30,27,1
44,44,42,1
54,55,49,1
74,73,65,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
12,14,15,0
37,51,57,0
56,73,81,0
26,30,29,0
162,152,132,0
7,9,8,0
12,19,17,0
26,41,38,0
16,24,23,0
21,33,29,0
31,34,36,0
7,8,8,0
6,6,8,0
14,18,20,0
7,8,8,0
5,6,6,0
