B,G,R,Label
192,185,181,1
192,185,181,1
159,159,159,1
163,169,168,1
163,169,168,1
138,146,148,1
144,149,152,1
144,149,152,1
121,125,131,1
83,99,103,1
83,99,103,1
145,156,155,1
134,148,150,1
108,122,127,1
135,143,142,1
142,153,157,1
114,124,128,1
106,116,121,1
84,96,104,1
101,111,117,1
108,130,130,1
102,115,118,1
102,115,118,1
116,127,130,1
80,97,106,1
98,109,115,1
94,105,112,1
93,99,106,1
82,94,101,1
93,101,106,1
71,82,92,1
52,65,73,1
80,94,100,1
73,88,93,1
62,77,86,1
56,70,83,1
58,70,80,1
60,72,81,1
56,69,79,1
47,57,68,1
38,46,53,1
79,95,107,1
75,89,99,1
113,134,150,1
40,51,60,1
30,38,45,1
103,123,138,1
66,78,87,1
89,106,114,1
96,111,118,1
140,158,167,1
45,55,65,1
91,104,112,1
85,99,106,1
112,130,139,1
100,116,124,1
51,65,73,1
47,58,64,1
101,118,128,1
106,122,130,1
137,159,173,1
97,112,120,1
92,105,115,1
76,86,96,1
58,68,76,1
111,124,132,1
100,118,127,1
88,105,114,1
90,102,111,1
118,130,136,1
66,77,86,1
67,80,88,1
59,72,81,1
65,80,89,1
30,39,45,1
40,48,54,1
30,39,44,1
65,76,87,1
53,65,72,1
55,67,76,1
45,55,60,1
67,81,89,1
63,74,81,1
118,128,137,1
70,81,88,1
118,130,137,1
77,95,105,1
94,106,109,1
182,181,178,1
230,225,209,1
153,147,147,1
173,179,176,1
147,149,150,1
190,190,188,1
165,171,170,1
118,130,132,1
84,99,107,1
186,191,187,1
182,181,179,1
155,162,166,1
136,142,147,1
163,169,167,1
155,169,172,1
183,190,188,1
60,73,82,1
68,84,91,1
148,155,163,1
178,180,178,1
161,174,171,1
184,183,180,1
85,97,104,1
61,75,89,1
179,190,188,1
237,237,231,1
101,114,118,1
186,198,189,1
136,145,148,1
66,81,89,1
76,92,104,1
78,93,104,1
157,164,166,1
110,122,130,1
171,177,176,1
169,170,165,1
152,157,157,1
147,156,160,1
142,155,155,1
124,133,138,1
141,144,149,1
60,73,84,1
56,68,74,1
156,161,162,1
123,137,142,1
164,175,176,1
116,122,126,1
98,115,122,1
93,106,110,1
127,140,145,1
154,161,163,1
65,79,90,1
65,76,82,1
120,130,135,1
138,152,154,1
110,123,128,1
143,154,154,1
113,125,133,1
125,138,143,1
66,81,91,1
139,151,155,1
111,125,135,1
87,107,119,1
96,111,119,1
84,99,109,1
80,90,96,1
64,77,83,1
120,135,143,1
156,173,180,1
151,168,177,1
62,76,84,1
105,118,126,1
114,128,135,1
51,61,69,1
61,73,82,1
133,152,161,1
130,148,159,1
92,108,118,1
73,88,97,1
50,61,71,1
88,103,113,1
104,117,123,1
64,75,83,1
50,61,72,1
40,50,57,1
65,76,87,1
67,80,88,1
76,91,100,1
115,128,134,1
109,120,128,1
164,173,177,1
142,154,158,1
117,132,136,1
118,130,136,1
59,77,64,0
59,82,66,0
51,69,60,0
54,69,60,0
51,66,56,0
62,77,63,0
44,59,48,0
36,42,49,0
38,51,50,0
32,48,42,0
36,51,44,0
32,46,40,0
21,30,28,0
27,37,32,0
12,19,18,0
12,20,19,0
19,29,23,0
23,29,26,0
25,34,29,0
41,48,43,0
135,124,105,0
143,129,112,0
135,122,104,0
140,129,111,0
31,42,35,0
24,32,29,0
28,37,34,0
26,35,28,0
127,118,99,0
139,126,108,0
152,137,117,0
138,128,108,0
24,33,29,0
34,47,46,0
21,32,27,0
140,130,109,0
157,146,123,0
160,152,133,0
143,132,113,0
31,46,40,0
22,29,27,0
165,152,130,0
183,168,146,0
179,166,146,0
209,191,166,0
47,60,66,0
51,61,65,0
43,55,53,0
37,56,44,0
39,56,45,0
51,65,59,0
62,65,52,0
101,122,130,0
50,60,64,0
32,45,38,0
73,87,79,0
255,255,255,0
106,109,89,0
241,239,237,0
43,49,42,0
255,255,255,0
52,66,57,0
31,44,39,0
255,255,240,0
255,255,255,0
34,38,33,0
255,255,255,0
255,255,255,0
242,219,191,0
164,154,135,0
135,121,102,0
185,171,148,0
251,229,202,0
255,255,239,0
255,255,255,0
255,255,255,0
255,255,255,0
42,46,42,0
13,14,13,0
11,12,11,0
255,255,255,0
255,255,255,0
184,169,148,0
135,122,103,0
220,198,172,0
255,255,255,0
255,255,255,0
181,166,145,0
142,129,110,0
255,255,244,0
255,255,255,0
255,255,255,0
183,168,147,0
85,77,63,0
251,229,200,0
255,255,255,0
255,252,221,0
80,82,68,0
255,255,249,0
88,99,95,0
154,143,116,0
54,71,63,0
75,94,82,0
68,83,84,0
52,77,62,0
80,96,101,0
49,63,54,0
54,66,60,0
43,52,44,0
48,62,54,0
72,88,79,0
56,70,57,0
62,80,62,0
57,79,61,0
56,74,63,0
66,89,81,0
46,63,50,0
62,83,81,0
36,46,44,0
49,61,65,0
30,45,35,0
19,25,26,0
24,31,29,0
22,32,28,0
25,33,27,0
40,46,42,0
23,31,29,0
35,43,45,0
27,36,31,0
40,51,48,0
29,42,39,0
56,76,72,0
73,94,87,0
79,99,97,0
30,36,38,0
47,57,61,0
46,66,58,0
47,72,57,0
47,61,64,0
84,99,85,0
78,95,101,0
50,61,50,0
49,69,61,0
44,59,49,0
45,58,51,0
39,51,45,0
60,74,68,0
75,93,85,0
58,75,75,0
54,69,62,0
44,60,55,0
69,87,85,0
70,88,73,0
59,77,62,0
37,46,40,0
24,29,26,0
255,255,241,0
30,35,29,0
33,39,31,0
17,21,19,0
11,13,11,0
9,11,10,0
12,14,12,0
18,21,18,0
21,24,21,0
11,12,11,0
9,11,9,0
18,22,20,0
60,64,52,0
24,28,24,0
12,14,13,0
10,13,11,0
18,22,19,0
23,31,25,0
10,13,12,0
10,12,11,0
8,9,9,0
14,16,15,0
19,22,20,0
38,39,34,0
14,17,16,0
11,10,11,0
9,10,9,0
12,15,15,0
17,21,19,0
21,27,23,0
17,22,20,0
9,11,10,0
13,15,13,0
9,12,11,0
10,11,13,0
17,22,20,0
26,32,26,0
44,49,40,0
19,26,24,0
11,13,11,0
13,15,13,0
15,17,17,0
24,29,25,0
42,51,42,0
22,30,24,0
16,21,17,0
9,12,11,0
18,24,19,0
25,31,25,0
30,34,31,0
28,35,30,0
28,30,32,0
12,15,12,0
27,33,25,0
19,23,20,0
9,11,9,0
11,15,11,0
11,13,11,0
17,18,17,0
9,10,11,0
19,24,20,0
26,33,28,0
27,33,30,0
57,73,59,0
21,25,23,0
48,62,55,0
34,47,36,0
37,50,40,0
30,43,37,0
29,42,37,0
23,33,28,0
18,28,21,0
35,49,45,0
33,45,40,0
10,16,13,0
21,29,26,0
22,31,23,0
22,32,26,0
31,46,38,0
59,82,63,0
26,36,34,0
32,42,41,0
41,50,53,0
51,67,52,0
48,65,55,0
42,58,51,0
21,31,27,0
29,44,35,0
19,28,23,0
14,21,17,0
40,54,46,0
29,42,34,0
13,18,15,0
23,24,20,0
13,19,15,0
17,24,20,0
128,123,110,0
38,50,39,0
12,15,11,0
8,10,8,0
13,16,13,0
12,16,13,0
43,32,30,0
20,29,23,0
27,36,28,0
27,38,31,0
34,46,40,0
19,30,23,0
13,17,14,0
10,11,11,0
14,17,14,0
26,33,27,0
33,44,35,0
28,40,32,0
8,10,9,0
23,34,27,0
26,27,24,0
18,21,18,0
179,188,181,1
141,150,149,1
106,118,122,1
102,113,120,1
67,84,93,1
77,91,101,1
63,77,85,1
120,131,135,1
164,169,168,1
122,129,135,1
114,123,126,1
228,228,225,1
131,138,141,1
80,96,106,1
58,70,78,1
46,56,65,1
53,63,73,1
119,137,150,1
86,104,115,1
118,132,142,1
102,118,128,1
108,121,127,1
73,87,98,1
126,139,147,1
236,236,230,1
211,208,198,1
209,210,206,1
80,91,100,1
111,127,134,1
124,134,139,1
112,120,127,1
86,103,112,1
107,120,129,1
115,128,134,1
179,189,188,1
120,131,137,1
127,141,146,1
24,34,30,0
28,38,32,0
37,56,43,0
29,40,43,0
48,64,58,0
100,108,90,0
255,255,255,0
47,53,44,0
255,255,255,0
243,223,198,0
153,141,121,0
31,43,35,0
70,87,80,0
255,255,255,0
34,40,35,0
255,238,207,0
255,255,255,0
15,21,19,0
21,27,22,0
23,30,25,0
35,47,37,0
18,22,20,0
17,24,18,0
8,10,8,0
30,40,35,0
22,32,26,0
9,13,11,0
9,12,11,0
11,13,12,0
29,36,30,0
255,255,255,0
201,182,158,0
31,43,39,0
255,255,251,0
16,19,18,0
22,28,22,0
